Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,BTN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880.571658,2848.238815,2979.907445,3050.140953,3205.291336,3414.550755,3559.029162,3680.665341,3810.859781,4018.927489,4061.499026,4308.525604,4686.010847,4957.529129,5165.173469,5456.70775,5761.750141,6743.046532,6995.779305,7393.917855,8190.576223,8744.957643,9084.004455,9163.563551,9574.029004,10086.0728,10775.19031,11142.47467,11348.44195,11864.76625,10551.45185
Botswana,BWA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8431.739276,8790.353575,8799.828409,8740.441511,8836.786675,9232.009609,9539.383621,10094.13608,9911.136066,10636.84639,10629.94692,10457.14818,10896.88273,11205.39998,11305.57344,11600.3295,12318.36203,13056.67253,13581.16899,12298.83216,13126.2147,13724.67135,14166.54427,15597.61742,16042.05249,14895.90498,15654.68183,15948.03202,16222.40745,16347.91008,14654.65108
Central African Republic,CAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.674665,1165.240259,1060.638246,1033.830959,1053.745934,1098.894561,1027.650038,1055.257751,1078.453826,1091.360827,1040.103835,1062.722306,1077.954127,998.9999451,1037.84467,1026.913908,1055.087334,1082.686648,1085.440256,1161.190011,1201.352197,1242.714801,1300.28881,824.9432757,822.6111949,852.7492366,884.4951965,912.8030453,933.1099506,945.1420429,936.2876074
Canada,CAN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34034.45518,34697.09058,35782.69026,37194.3956,37309.6498,38169.10636,39268.21243,40426.23133,42046.86958,43358.18239,45888.47633,45851.63025,44003.61704,44861.52396,45822.59643,46126.51389,46704.76224,47564.60911,47522.14067,47457.58535,48317.09658,48796.81378,49006.74311,45900.18286
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13987.68184,12640.91702,12385.0728,12581.38294,13094.1266,13858.01994,14518.03964,14803.87282,15208.1862,15497.49251,16198.89691,16825.29142,17557.47398,18320.27467,19472.64855,20496.90584,21904.16386,23391.89001,24456.47759,23676.91181,24116.24042,24913.4289,25177.03312,25566.86787,26389.30095,27483.67935,28419.32676,29901.29917,31308.75693,32642.83494,31452.27394
Switzerland,CHE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56329.21565,55120.11476,54491.90035,53929.85852,54181.00257,54078.95231,54106.57086,55201.20477,56724.50517,57440.05357,59389.42406,59944.77692,59489.74806,59022.35241,60271.93241,61613.39105,63686.24824,65641.71061,66598.85937,64404.07986,65819.73725,66342.01082,66440.28702,66877.16305,67682.68618,68025.92004,68663.24382,69103.57026,70597.29207,70944.35481,68752.77021
Channel Islands,CHI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9849.648557,10444.75109,11421.03818,11977.02559,12382.8833,13287.86752,13990.9264,14828.01638,15271.47191,15022.91552,15638.00094,15973.61997,16293.18583,16782.93882,17807.17013,18634.62644,19603.69783,20346.74086,20840.40421,20298.25092,21262.46699,22337.86056,23300.4423,24006.81233,24173.06494,24440.41526,24531.35774,24470.70362,25028.90999,24967.58021,23324.52475
China,CHN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.896348,1534.705272,1731.657215,1949.534268,2178.924057,2391.477116,2601.363426,2812.711135,3004.427342,3206.730026,3451.679231,3712.338132,4024.355697,4400.825183,4817.211845,5334.646639,5979.781712,6795.174012,7412.874363,8069.354638,8884.588031,9680.0977,10370.72657,11101.93893,11851.40422,12612.35165,13399.13732,14243.53261,15133.99562,15977.64522,16315.81574
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4271.565365,4122.072122,3967.561491,3822.907758,3723.785416,3858.691338,4025.030662,4277.605502,4328.758914,4258.219446,4137.962078,3953.124783,3760.719464,3508.059043,3545.085796,3505.486763,3527.240271,3488.646684,3574.51755,3619.579175,3778.208471,3491.02126,3666.637502,3961.828568,4225.955764,4417.150215,4615.709257,4830.750515,5033.478826,5212.554021,5181.31116
