Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,BTN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529010317,1522773855,1592835027,1624474570,1704910488,1825517855,1927111080,2030670917,2150765421,2322481931,2400402786,2600811321,2886699832,3112535088,3299559299,3540006412,3787797590,4483269577,4698442335,5015508904,5614656382,6062852899,6373174014,6508283559,6884234277,7341501097,7938147353,8307416844,8561219215,9053931934,8141626868
Botswana,BWA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10849591104,11658830544,11998926828,12228839122,12672491136,13563419253,14354139479,15549249472,15618235813,17128088269,17468542569,17512314172,18575229486,19434500059,19960362986,20869886000,22615416357,24487240950,26016576245,24025707127,26083179980,27660784984,28893389525,32170881397,33505735636,31589984034,33812938657,35166622662,36566393289,37660729503,34462243851
Central African Republic,CAF,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3372788349,3354152243,3138678880,3149202107,3303511417,3541365744,3399707822,3579890161,3748150096,3883082559,3786415842,3955469428,4098520648,3877303602,4109743464,4147068586,4344928772,4545122879,4638485655,5036804499,5270049770,5491108086,5768615578,3669302318,3672277041,3831548140,4013558817,4195263791,4354240946,4484868174,4522048180
Canada,CAN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02E+12,1.05E+12,1.09E+12,1.14E+12,1.16E+12,1.20E+12,1.24E+12,1.29E+12,1.36E+12,1.41E+12,1.51E+12,1.52E+12,1.48E+12,1.53E+12,1.57E+12,1.60E+12,1.64E+12,1.69E+12,1.70E+12,1.71E+12,1.77E+12,1.81E+12,1.84E+12,1.74E+12
Central Europe and the Baltics,CEB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55E+12,1.40E+12,1.36E+12,1.38E+12,1.44E+12,1.52E+12,1.59E+12,1.62E+12,1.66E+12,1.69E+12,1.76E+12,1.81E+12,1.88E+12,1.95E+12,2.07E+12,2.17E+12,2.32E+12,2.47E+12,2.57E+12,2.48E+12,2.52E+12,2.60E+12,2.62E+12,2.65E+12,2.73E+12,2.84E+12,2.93E+12,3.07E+12,3.21E+12,3.34E+12,3.22E+12
Switzerland,CHE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78E+11,3.75E+11,3.75E+11,3.74E+11,3.79E+11,3.81E+11,3.83E+11,3.91E+11,4.03E+11,4.10E+11,4.27E+11,4.33E+11,4.33E+11,4.33E+11,4.45E+11,4.58E+11,4.77E+11,4.96E+11,5.09E+11,4.99E+11,5.15E+11,5.25E+11,5.31E+11,5.41E+11,5.54E+11,5.63E+11,5.75E+11,5.84E+11,6.01E+11,6.08E+11,5.94E+11
Channel Islands,CHI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31E+11,1.41E+11,1.57E+11,1.67E+11,1.75E+11,1.91E+11,2.04E+11,2.19E+11,2.29E+11,2.28E+11,2.40E+11,2.48E+11,2.56E+11,2.66E+11,2.85E+11,3.02E+11,3.21E+11,3.36E+11,3.48E+11,3.43E+11,3.63E+11,3.85E+11,4.05E+11,4.22E+11,4.29E+11,4.39E+11,4.47E+11,4.52E+11,4.69E+11,4.73E+11,4.46E+11
China,CHN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62E+12,1.77E+12,2.02E+12,2.30E+12,2.60E+12,2.88E+12,3.17E+12,3.46E+12,3.73E+12,4.02E+12,4.36E+12,4.72E+12,5.15E+12,5.67E+12,6.24E+12,6.95E+12,7.84E+12,8.96E+12,9.82E+12,1.07E+13,1.19E+13,1.30E+13,1.40E+13,1.51E+13,1.63E+13,1.74E+13,1.86E+13,1.99E+13,2.12E+13,2.25E+13,2.30E+13
Cote d'Ivoire,CIV,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50937874484,50958720894,50834095935,50736247874,51147823709,54792487058,59027577786,64723054351,67482784509,68270214118,68088759082,66622118706,64802984117,61740481545,63706939484,64341502369,66153087938,66881717739,70080446901,72605670757,77577742959,73411471202,79005727589,87506912264,95708060030,1.03E+11,1.10E+11,1.18E+11,1.26E+11,1.34E+11,1.37E+11
Cameroon,CMR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39814637091,38298257073,37111009874,34167339864,34808595651,35815956888,37325625312,39015473485,40859163281,42702444439,44338980519,46256313846,48327221427,50962579086,54554861377,55770491099,57895114399,60400577009,62120590885,63722837328,65570178137,67785932998,70921695834,74464609829,78723850093,83185093671,86958198354,90037541682,93598989465,96851610488,97328037838
"Congo, Dem. Rep.",COD,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62984305228,57680364448,51623921241,44670669199,42928514529,43229013628,42786706187,40383356963,39727469037,38031050161,35402751926,34659232880,35680905680,37671123198,40209544344,42676460668,44947266420,47760730567,50734263154,52182758842,55891897117,59734281098,63967589236,69393292416,75965037128,81218906049,83167671599,86267287184,91289010441,95291603469,96945315647
